text,label
సినిమాలో ఎమోషన్ లేదు,0
నటన కూడా గొప్పగా ఏమీ లేదు,0
ఓ కొత్త దర్శకుడి నుంచి ఆశించే వైవిధ్యమేమీ అతను చూపించలేకపోయాడు ,0
పాత సినిమాలపై మరీ ఎక్కువగా ఆధారపడి దర్శకుడిగా తన ముద్రేమీ చూపించలేకపోయాడు,0
సినిమాను ట్రాక్ తప్పించేశాడు ,0
టచప్స్ వల్ల ఒరిజినల్ లో ఉన్న ఫీల్ మాత్రం పోయింది,0
హీరోయిన్ తో హీరో రొమాంటిక్ ట్రాక్ అంత బాగా లేదు,0
ద్వితీయార్ధంలో సీరియస్ పార్ట్ ను సరిగా హ్యాండిల్ చేయకపోవడంతో కథనం భారంగా గడుస్తుంది,0
ఆ ఎపిసోడ్ సినిమాకు అనవసరం అన్నట్లు తయారైంది ,0
డైలాగ్ డెలివరీ కూడా పెద్ద మైనస్ అయింది,0
నటన గురించి కూడా చెప్పడానికేం లేదు ,0
 కదా ప్రేక్షకులకు విసుగు తెప్పించింది,0
మొదటి భాగం రొటీన్ గా ఉందనుకుంటే సెకండ్ హాఫ్ దానికి మించి ఇంకా విసుగు పుట్టిస్తుంది,0
ఈ సినిమా ఓ ఫ్లాప్ గా నిలిచేలా చేశాయి,0
ఈ సినిమాను రొటీన్ గా ఫీల్ అవ్వడం ఖాయం,0
ఇంటర్వల్ బ్యాంగ్ కూడా నెక్స్ట్ ఏం జరగబోతుందనే క్యూరియాసిటీను కలిగించలేకపోయింది,0
" వినడానికి, చూడడానికి పాటలు ఏవరేజ్‌గా అనిపిస్తాయి",0
కథనాల్లో సరైన బలం లేకపోవడంతో ప్రేక్షకులను సినిమా అంతగా ఆకట్టుకోదు,0
థ్రిల్లర్ సినిమాలు ఇష్టపడే ఆడియన్స్‌కు కూడా ఈ సినిమా పెద్దగా రుచించదు,0
చెప్పిన డైలాగులు అతనిలోని హాస్యనటుడిని మరిచిపోయేలా చేస్తాయి ,0
ఈ కథలో కొత్తదనం ఏమీ లేకపోవడం,0
ఫస్ట్ హాఫ్‌లో వచ్చే కొన్ని సీన్లు బోరు కొట్టిస్తాయి ,0
 సినిమా ప్రారంభమైన చాలా సేపటి వరకు దర్శకుడు కథలోకి వెళ్లలేదు సరదా సన్నివేశాలతో నడిపించేసారు,0
ఈ మధ్య కాలంలో పెద్ద హీరోలతో పనిచేసిన పూరీ తన రేంజ్‌లో హిట్ అందుకోలేకపోయాడనే చెప్పాలి,0
ఎప్పుడైతే సెకండ్ హాఫ్ మొదలవుతుందో ఇక ఆడియన్స్‌కు తలనొప్పి మొదలవుతుంది,0
కథలో సైకో పాత్ర ఎంటర్ అయిన దగ్గర నుంచి అంతా గడిబిడిగా ఉంటుంది,0
అలీతో చేయించిన కామెడీ ట్రాక్ పట్టాలు తప్పింది,0
దానికి డాన్సులు చేయడం కాస్త వింతగా అనిపించింది,0
కథను తెరపై సరిగ్గా ఎగ్జిక్యూట్ చేయలేకపోయాడనే చెప్పాలి ,0
పోలీసులు పట్టుకోలేకపోవడం అనే పాయింట్ సిల్లీగా అనిపిస్తుంది ,0
ఇక క్లైమాక్స్ గురించి మాట్లాడుకోకపోతేనే మంచింది,0
సినిమాటోగ్రపీ వర్క్ ఆకట్టుకుంది,0
ఎడిటింగ్ వర్క్ సరిగ్గా లేదు ఏవో సీన్లు అక్కడక్కడా అతికించిన ఫీలింగ్ కలుగుతుంది,0
సినిమా కూడా అంతా ముక్కలుముక్కలుగా ఉంటుంది ,0
సంగీతం కూడా ఆశించిన స్థాయిలో లేదు,0
తక్కువ బడ్జెట్‌లోనే సినిమాను చిత్రీకరించారు ,0
"మొత్తానికి నాలుగు కుల్లు జోకులు, ఐదారు పంచ్ డైలాగ్స్, రొటీన్ కథతో రోగ్ మెప్పించలేకపోయాడు             ",0
 సినిమా రాధపై ప్రేక్షకుల్లో అంచనాలు పెరిగాయి,0
ఇలాంటి కథలతో ఇప్పటికే చాలా సినిమాలు వచ్చాయి,0
రొటీన్ కథను కాస్త వినోదం జోడించి చెప్పడానికి ప్రయత్నించాడు ,0
కామెడీ పెట్టి ప్రేక్షకులను నవ్వించే ప్రయత్నం చేశారు అది కొంతవరకు సక్సెస్ అయింది,0
క్లైమాక్స్ సన్నివేశాలు మరీ రొటీన్ శర్వానంద్ ఎప్పటిలానే తన పాత్రలో ఒదిగిపోయాడు,0
పాటలు మరీ గుర్తుపెట్టుకునే విధంగా కాకపోయినా ఒకసారి వినేలా ఉన్నాయి,0
 రెండు గంటల టైమ్ పాస్ కోసం ఒకసారైతే ఈ సినిమా చూడొచ్చు           ,0
సినిమా మొదటి భాగంలో తెరపై తన నటనను చూడడానికి సామాన్య ప్రేక్షకుడు బాగా ఇబ్బంది,0
ఒకరకంగా ఈ పాత్రలో సుమంత్ సెట్ కాలేదనే చెప్పాలి,0
బాలీవుడ్ హీరో చేసిన రేంజ్ లో సుమంత్ మెప్పించలేకపోయాడు,0
హీరోయిన్ క్యారెక్టర్ అంతంత మాత్రంగానే ఉంటుంది,0
సినిమాలో పాటలన్నీ ఒకేరకంగా ఉన్నాయి బ్యాక్ గ్రౌండ్ స్కోర్ కూడా సో సో గా ఉంది,0
 సినిమాలో ఎక్కడా రిచ్ నెస్ అనేది కనిపించదు ,0
 ప్రతి ఫ్రేమ్ సాదాసీదాగా ఉంటుంది,0
అతి తక్కువ బడ్జెట్ లో ఈ సినిమాను నిర్మించినట్లు తెలుస్తోంది ,0
కానీ ప్రేక్షకులు ఆశించిన రీతిలో అయితే సినిమా ఉండదు ,0
ఇటువంటి సినిమాలకు ఫ్యామిలీ ఆడియన్స్ వస్తారా అనే విషయం కూడా అనుమానమే,0
ఫస్ట్ హాఫ్‌లో వచ్చే రొటీన్ సీన్స్ బోర్ కొట్టిస్తాయి,0
హెబ్బా ఫ్రెండ్ పాత్రలో కనిపించిన తేజస్వినిని ఈ సినిమాలో అందంగా చూపించారు,0
ఎడిటింగ్ వర్క్‌పై ఇంకాస్త శ్రద్ధ పెట్టాల్సింది,0
అబ్బాయిలను తన వలలో వేసుకోవడానికి హెబ్బా చేసే ప్రయత్నాలు బాగా బోర్ కొట్టించేశాయి,0
కథనం కూడా చాలా నెమ్మదిగా నడిచింది,0
దర్శకుడు మిగిలిన పాయింట్స్ పై పెద్దగా ఫోకస్ పెట్టలేదని తెలుస్తోంది,0
రెగ్యులర్ ప్రేమ కథల్లా కాకుండా కాస్త కొత్తగా ఉండాలని చేసిన ఈ ప్రయత్నం కొంతవరకు మెప్పించిందనే చెప్పాలి,0
ఒకటే ఫార్ములాను పట్టుకొని తిప్పి తిప్పి సినిమాలు చేస్తాడనే రూమర్,0
 అలాంటి సినిమాలు చూడడానికి ఎవరు సిద్ధంగా లేరు,0
ఇప్పటివరకు డిఫరెంట్ ఫార్మాట్‌లో సినిమాలు చేస్తూ వస్తోన్న వరుణ్ ఈ సినిమా అంగీకరించడంతో కాస్తో కూస్తో,0
కానీ సినిమాలో ఎంటర్‌టైన్‌మెంట్ ఏ మూలాన కనిపించదు,0
" సినిమా ఫస్ట్ హాఫ్‌లో రెండు, మూడు కామెడీ సీన్స్‌తో ఏదో బండి నడిపించాడు",0
సెకండ్ హాఫ్ మొదలైతే గానీ అర్థం కాదు,0
సినిమా పరిస్థితి ఏంటో! రెగ్యులర్ కమర్షియల్ సినిమాల్లో ఇదో రకమని చెప్పొచ్చు ,0
"అసందర్భానుసారంగా వచ్చే పాటలు, పంచ్‌ల కోసం వాడే రైమింగ్‌లు",0
కావాలని కొందరిని టార్గెట్ చేసిన స్పూఫ్‌లు ఇవన్నీ ప్రేక్షకుల సహనాన్ని పరీక్షిస్తాయి ,0
అసలు కొన్ని పాత్రలు ఎందుకు వస్తున్నాయో వెళ్తున్నాయో కూడా అర్థం కాదు ,0
లాజిక్స్‌కు అందని సన్నివేశాలు చాలానే ఉన్నాయి,0
ముఖ్యంగా సినిమాకు సెకండ్ హాఫ్ పెద్ద మైనస్,0
మిక్కీ మ్యూజిక్ అంతంత మాత్రంగానే ఉంది,0
ఎడిటింగ్ వర్క్ మీద ఇంకా ఫోకస్ చేయాల్సివుంది కథ,0
కథనాల్లో ఎలాంటి కొత్తదనం ప్రదర్శించలేదు,0
కొంతవరకు నవ్వించే ప్రయత్నం చేశారు ,0
 పాత్రలను సరిగ్గా ఎస్టాబ్లిష్ చేయలేదు ,0
ఈసారి మాత్రం తప్పటడుగు వేశారు కంటెంట్ లేని కథను ఎన్నుకొని,0
కామెడీ ఉంటే ప్రేక్షకులు సినిమా చూసేస్తారు అనుకుంటే పొరపాటే పోనీ,0
సినిమాలో కామెడీ అయినా కొత్తగా ఉందా అంటే అదీ లేదు,0
"స్పూఫ్‌లు, పేరడీలతో విసిగించేశారు",0
ఈ సినిమాతో ఎలాంటి ప్రయోజనం ఉండదనే చెప్పాలి,0
గెస్ట్ పాత్రకు ఎక్కువ హీరో పాత్రకు తక్కువ అన్నట్లుగా ఉంది,0
కొత్తగా కనిపించడానికి పాత్ర డిజైన్ చేసిన తీరు కూడా ఏమిలేదు ,0
సోది పాత్ర కూడా అలానే ఉంటుంది,0
కొన్ని ఫ్రేమ్స్‌లో ఆమెను చూడడానికి కష్టంగా అనిపిస్తుంది ,0
అయితే అవే సన్నివేశాలు సెకండ్ హాఫ్ మొత్తం కంటిన్యూ చేయడం వలన బోర్ ఫీలింగ్ కలుగుతుంది,0
సాధారణ ప్రేక్షకుడు సినిమాకు కనెక్ట్ కావడానికి ఎలాంటి ఎలిమెంట్ కనిపించదు,0
బావున్నాయని అనిపించేలా ఒక్క షాట్ కూడా లేదు ,0
ప్రతి షాట్ రెగ్యులర్ గా ఉంది కథ,0
"కథనాలు, లాజిక్స్ తో సంబంధం లేకుండా సినిమా చూడగలం అనుకునే వారు మాత్రం సినిమాకు వెళ్లొచ్చు",0
ఈ మధ్య కాలంలో భారీ బడ్జెట్‌తో వస్తోన్న రెగ్యులర్ కమర్షియల్ సినిమాలు బాక్సాఫీస్ వద్ద బోల్తా పడుతున్నాయి,0
"ఎంత పెద్ద హీరోల సినిమా అయినా కథ, కథనాల్లో కొత్తదనం లేకపోతే ఆడియన్స్ చూడడానికి ఇష్టపడడం లేదు",0
సినిమాలో లాజిక్స్‌కు అందని చాలా సీన్లు ఉన్నాయి,0
సినిమా అంటే ఇలానే ఉంటుంది మరి అనుకుంటూ మనం చూడాల్సిందే కానీ కొన్ని విషయాలు మాత్రం అంతుచిక్కవు,0
తనకు ఈ సినిమా పెద్దగా కలిసి రాలేదనే చెప్పాలి కథ,0
చెప్పిన కథను నమ్మి నిర్మాత చాలా ఎక్కువగా ఖర్చు పెట్టారనిపిస్తోంది,0
చిత్ర శుక్లల మధ్య వచ్చే లవ్ సీన్స్ విసుగు పుట్టిస్తాయి,0
వారిద్దరి మధ్య కెమిస్ట్రీ కూడా పెద్దగా వర్కవుట్ కాలేదు ,0
"కథనాలు రెగ్యులర్‌గా ఉండడం వల్ల, హీరో క్యారెక్టరైజేషన్ బలంగా ప్రెజంట్ చేయకపోవడం",0
స్క్రీన్‌ప్లే చప్పగా సాగడం వంటి కారణాలతో సాధారణ ప్రేక్షకుడికి సినిమా తొందరగా కనెక్ట్ అవ్వదు,0
